name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,awards
Jahmyr Gibbs,22,RB,17,4,250,1412,16,70,53.6,70,5.6,83.1,14.7,63,52,517,9.9,4,25,55.6,54,3.1,30.4,82.5,8.2,302,6.4,1929,20,1,PB
Amon-Ra St. Brown,25,WR,17,17,2,6,0,1,50.0,10,3.0,0.4,0.1,141,115,1263,11.0,12,73,70.2,66,6.8,74.3,81.6,9.0,117,10.8,1269,12,1,"PB,AP-1"
David Montgomery,27,RB,14,14,185,775,12,50,55.1,21,4.2,55.4,13.2,38,36,341,9.5,0,16,73.7,40,2.6,24.4,94.7,9.0,221,5.0,1116,12,2,
Jameson Williams,23,WR,15,11,11,61,1,5,63.6,15,5.5,4.1,0.7,91,58,1001,17.3,7,41,52.7,82,3.9,66.7,63.7,11.0,69,15.4,1062,8,0,
Sam LaPorta,23,TE,16,16,0,0,0,0,,,,0.0,0.0,83,60,726,12.1,7,39,56.6,52,3.8,45.4,72.3,8.7,60,12.1,726,7,0,
Tim Patrick,31,WR,16,9,0,0,0,0,,,,0.0,0.0,44,33,394,11.9,3,20,56.8,42,2.1,24.6,75.0,9.0,33,11.9,394,3,0,
Kalif Raymond,30,WR,12,2,2,0,0,1,50.0,,0.0,0.0,0.2,22,17,215,12.6,2,10,59.1,38,1.4,17.9,77.3,9.8,19,11.3,215,2,0,AP-2
Craig Reynolds,28,RB,17,0,31,139,0,6,54.8,19,4.5,8.2,1.8,5,3,40,13.3,0,2,60.0,26,0.2,2.4,60.0,8.0,34,5.3,179,0,1,
Brock Wright,26,TE,17,8,0,0,0,0,,,,0.0,0.0,16,13,100,7.7,2,7,68.8,16,0.8,5.9,81.3,6.3,13,7.7,100,2,0,
Jared Goff,30,QB,17,17,35,56,0,9,34.3,10,1.6,3.3,2.1,1,1,7,7.0,1,1,100.0,7,0.1,0.4,100.0,7.0,36,1.8,63,1,6,PB
Sione Vaki,23,RB,16,0,6,14,0,0,33.3,7,2.3,0.9,0.4,3,3,37,12.3,0,2,100.0,17,0.2,2.3,100.0,12.3,9,5.7,51,0,0,
Jermar Jefferson,24,RB,2,0,6,22,0,1,83.3,8,3.7,11.0,3.0,1,1,10,10.0,0,1,100.0,10,0.5,5.0,100.0,10.0,7,4.6,32,0,0,
Allen Robinson,31,WR,12,0,0,0,0,0,,,,0.0,0.0,7,3,30,10.0,0,3,42.9,21,0.3,2.5,42.9,4.3,3,10.0,30,0,0,
Shane Zylstra,28,TE,12,1,0,0,0,0,,,,0.0,0.0,1,1,22,22.0,0,1,100.0,22,0.1,1.8,100.0,22.0,1,22.0,22,0,0,
Dan Skipper,30,T,17,5,0,0,0,0,,,,0.0,0.0,1,1,9,9.0,1,1,100.0,9,0.1,0.5,100.0,9.0,1,9.0,9,1,0,
Isaiah Williams,23,WR,2,0,0,0,0,0,,,,0.0,0.0,3,2,6,3.0,0,0,0.0,4,1.0,3.0,66.7,2.0,2,3.0,6,0,0,
Hendon Hooker,26,QB,3,0,5,2,0,1,20.0,3,0.4,0.7,1.7,0,0,0,,0,0,,,0.0,0.0,,,5,0.4,2,0,0,
Jalen Reeves-Maybin,29,LB,10,0,1,1,0,0,0.0,1,1.0,0.1,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,1.0,1,0,0,
Taylor Decker,30,T,14,14,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
Tom Kennedy,28,WR,4,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
